token,top_anchors
???,"n_containers(npmi=+0.46, n=2) | has_star_motif(npmi=+0.62, n=1) | has_container(npmi=+0.43, n=2)"
@152;,"has_marginal_annotation(npmi=+0.44, n=1) | n_rays_or_petals(npmi=+0.39, n=1) | n_visual_text_columns(npmi=+0.31, n=1)"
@152;aiin,"n_plant_fragments(npmi=+0.32, n=12) | n_containers(npmi=+0.31, n=10) | n_rows(npmi=+0.31, n=7)"
@152;ain,"n_plant_fragments(npmi=+0.23, n=4) | n_pools(npmi=+0.22, n=4) | has_spiral(npmi=+0.43, n=1)"
@152;air,"has_circular_structure(npmi=+0.32, n=5) | n_rays_or_petals(npmi=+0.47, n=2) | n_concentric_rings(npmi=+0.29, n=4)"
@152;al,"n_nymphs(npmi=+0.37, n=9) | n_pipes(npmi=+0.40, n=8) | has_water(npmi=+0.36, n=9)"
@152;aly,"has_marginal_annotation(npmi=+0.54, n=1) | n_pools(npmi=+0.22, n=1) | n_nymphs(npmi=+0.20, n=1)"
@152;am,"n_rows(npmi=+0.33, n=3) | n_plant_fragments(npmi=+0.26, n=4) | n_containers(npmi=+0.22, n=3)"
@152;ar,"n_rays(npmi=+0.41, n=2) | has_circular_structure(npmi=+0.20, n=8) | has_radial_symmetry(npmi=+0.18, n=7)"
@152;ol,"has_moon_face(npmi=+0.70, n=1) | n_stars(npmi=+0.34, n=3) | has_star_motif(npmi=+0.58, n=1)"
@152;y,"has_water(npmi=+0.22, n=6) | n_pools(npmi=+0.20, n=5) | n_nymphs(npmi=+0.17, n=5)"
@170;,"n_concentric_rings(npmi=+0.42, n=1) | has_radial_symmetry(npmi=+0.40, n=1) | has_circular_structure(npmi=+0.39, n=1)"
@172;,"has_marginal_annotation(npmi=+0.67, n=1) | n_concentric_rings(npmi=+0.29, n=1) | has_radial_symmetry(npmi=+0.27, n=1)"
@221;,"n_pipes(npmi=+0.17, n=1) | n_labels(npmi=+0.11, n=2) | n_plant_fragments(npmi=+0.16, n=1)"
@221;iin,"has_marginal_annotation(npmi=+0.39, n=1) | n_pipes(npmi=+0.26, n=2) | n_pools(npmi=+0.23, n=2)"
@221;kaiin,"n_paragraphs(npmi=+0.49, n=5) | n_decorative_motifs(npmi=+0.48, n=5) | n_stars(npmi=+0.43, n=5)"
@221;kain,"n_paragraphs(npmi=+0.49, n=6) | n_decorative_motifs(npmi=+0.48, n=6) | n_stars(npmi=+0.44, n=6)"
@221;kal,"n_flowers_visible(npmi=+0.45, n=1) | branching_depth(npmi=+0.45, n=1) | n_rays_or_petals(npmi=+0.45, n=1)"
@221;kar,"n_pipes(npmi=+0.20, n=1) | n_pools(npmi=+0.18, n=1) | n_nymphs(npmi=+0.16, n=1)"
@221;keey,"n_paragraphs(npmi=+0.60, n=7) | n_decorative_motifs(npmi=+0.58, n=7) | n_stars(npmi=+0.53, n=7)"
@221;l,"n_nymphs(npmi=+0.54, n=9) | n_pipes(npmi=+0.55, n=8) | has_water(npmi=+0.52, n=9)"
@221;r,"n_pipes(npmi=+0.32, n=6) | n_nymphs(npmi=+0.26, n=6) | n_paragraphs(npmi=+0.23, n=7)"
@243;,"has_star_motif(npmi=+0.54, n=1) | n_containers(npmi=+0.20, n=1) | has_container(npmi=+0.17, n=1)"
aiiin,"n_paragraphs(npmi=+0.44, n=13) | n_decorative_motifs(npmi=+0.43, n=13) | n_stars(npmi=+0.41, n=14)"
aiin,"n_paragraphs(npmi=+0.24, n=25) | n_decorative_motifs(npmi=+0.23, n=25) | n_stars(npmi=+0.19, n=27)"
aiir,"n_stars(npmi=+0.34, n=8) | n_paragraphs(npmi=+0.35, n=7) | n_decorative_motifs(npmi=+0.33, n=7)"
ail,"n_paragraphs(npmi=+0.55, n=4) | n_decorative_motifs(npmi=+0.54, n=4) | n_stars(npmi=+0.49, n=4)"
aim,"n_rays_or_petals(npmi=+0.41, n=1) | n_paragraphs(npmi=+0.23, n=2) | n_decorative_motifs(npmi=+0.23, n=2)"
ain,"n_decorative_motifs(npmi=+0.50, n=21) | n_paragraphs(npmi=+0.48, n=20) | n_stars(npmi=+0.39, n=20)"
air,"n_paragraphs(npmi=+0.54, n=20) | n_decorative_motifs(npmi=+0.52, n=20) | n_stars(npmi=+0.45, n=20)"
al,"n_paragraphs(npmi=+0.47, n=25) | n_decorative_motifs(npmi=+0.45, n=25) | n_stars(npmi=+0.39, n=26)"
alaiin,"n_rays_or_petals(npmi=+0.41, n=1) | n_concentric_rings(npmi=+0.25, n=2) | n_paragraphs(npmi=+0.23, n=2)"
alam,"n_paragraphs(npmi=+0.56, n=6) | n_decorative_motifs(npmi=+0.55, n=6) | n_stars(npmi=+0.50, n=6)"
alar,"n_human_figures(npmi=+0.52, n=3) | has_central_star(npmi=+0.67, n=1) | has_central_object(npmi=+0.67, n=1)"
alchey,"n_petals(npmi=+0.70, n=1) | n_stars(npmi=+0.34, n=3) | n_paragraphs(npmi=+0.27, n=2)"
aldy,"n_concentric_rings(npmi=+0.22, n=2) | has_radial_symmetry(npmi=+0.19, n=2) | has_circular_structure(npmi=+0.18, n=2)"
alkain,"n_paragraphs(npmi=+0.53, n=5) | n_decorative_motifs(npmi=+0.52, n=5) | n_stars(npmi=+0.47, n=5)"
alody,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
alol,"n_paragraphs(npmi=+0.45, n=4) | n_decorative_motifs(npmi=+0.44, n=4) | n_stars(npmi=+0.39, n=4)"
alor,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
als,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
alshey,"has_central_star(npmi=+0.70, n=1) | n_human_figures(npmi=+0.43, n=2) | n_concentric_rings(npmi=+0.29, n=2)"
aly,"n_paragraphs(npmi=+0.37, n=9) | has_human_figure(npmi=+0.34, n=10) | n_decorative_motifs(npmi=+0.35, n=9)"
am,"n_paragraphs(npmi=+0.31, n=14) | n_decorative_motifs(npmi=+0.29, n=14) | has_radial_symmetry(npmi=+0.26, n=13)"
an,"n_flowers_visible(npmi=+0.41, n=1) | branching_depth(npmi=+0.41, n=1) | n_leaves_visible(npmi=+0.37, n=1)"
ar,"n_decorative_motifs(npmi=+0.31, n=26) | n_paragraphs(npmi=+0.31, n=25) | has_radial_symmetry(npmi=+0.29, n=25)"
araiin,"n_paragraphs(npmi=+0.49, n=5) | n_decorative_motifs(npmi=+0.48, n=5) | n_stars(npmi=+0.43, n=5)"
aral,"n_paragraphs(npmi=+0.47, n=9) | n_decorative_motifs(npmi=+0.46, n=9) | n_stars(npmi=+0.40, n=9)"
aram,"n_paragraphs(npmi=+0.44, n=6) | n_decorative_motifs(npmi=+0.43, n=6) | n_stars(npmi=+0.38, n=6)"
arar,"n_concentric_rings(npmi=+0.41, n=3) | has_radial_symmetry(npmi=+0.38, n=3) | has_circular_structure(npmi=+0.37, n=3)"
arody,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)"
arol,"n_paragraphs(npmi=+0.28, n=3) | n_decorative_motifs(npmi=+0.27, n=3) | has_human_figure(npmi=+0.23, n=3)"
aror,"n_pipes(npmi=+0.51, n=3) | n_pools(npmi=+0.48, n=3) | n_nymphs(npmi=+0.45, n=3)"
ary,"has_circular_structure(npmi=+0.32, n=8) | n_concentric_rings(npmi=+0.33, n=7) | has_radial_symmetry(npmi=+0.29, n=7)"
a{ith}y,"has_star_motif(npmi=+0.58, n=1) | n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2)"
c,"has_marginal_annotation(npmi=+0.67, n=1) | n_concentric_rings(npmi=+0.29, n=1) | has_radial_symmetry(npmi=+0.27, n=1)"
cfhy,"n_paragraphs(npmi=+0.08, n=1) | n_decorative_motifs(npmi=+0.07, n=1) | n_stars(npmi=+0.04, n=1)"
ch,"n_pools(npmi=+0.28, n=2) | n_rays_or_petals(npmi=+0.39, n=1) | n_nymphs(npmi=+0.26, n=2)"
ch@152;al,"n_concentric_rings(npmi=+0.09, n=1) | n_paragraphs(npmi=+0.08, n=1) | n_decorative_motifs(npmi=+0.07, n=1)"
ch@152;am,"n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1) | n_stars(npmi=+0.07, n=1)"
ch@152;ar,"has_sun_face(npmi=+0.58, n=1) | n_rays(npmi=+0.58, n=1) | n_concentric_rings(npmi=+0.29, n=2)"
ch@152;y,"n_pools(npmi=+0.28, n=6) | n_nymphs(npmi=+0.25, n=6) | has_water(npmi=+0.23, n=6)"
ch@221;l,"n_rays_or_petals(npmi=+0.66, n=2) | n_concentric_rings(npmi=+0.29, n=2) | has_radial_symmetry(npmi=+0.26, n=2)"
chaiin,"n_paragraphs(npmi=+0.20, n=7) | n_decorative_motifs(npmi=+0.18, n=7) | n_stars(npmi=+0.13, n=7)"
chain,"n_paragraphs(npmi=+0.32, n=6) | n_decorative_motifs(npmi=+0.31, n=6) | n_stars(npmi=+0.26, n=6)"
chal,"n_decorative_motifs(npmi=+0.45, n=13) | n_paragraphs(npmi=+0.43, n=12) | n_stars(npmi=+0.35, n=12)"
chaly,"n_paragraphs(npmi=+0.32, n=2) | n_decorative_motifs(npmi=+0.31, n=2) | n_stars(npmi=+0.27, n=2)"
cham,"branching_depth(npmi=+0.41, n=2) | n_rays_or_petals(npmi=+0.41, n=2) | n_leaves_visible(npmi=+0.37, n=2)"
chan,"n_flowers_visible(npmi=+0.54, n=2) | n_leaves_visible(npmi=+0.49, n=2) | n_visual_text_columns(npmi=+0.45, n=2)"
char,"n_decorative_motifs(npmi=+0.44, n=18) | n_paragraphs(npmi=+0.42, n=17) | n_stars(npmi=+0.34, n=17)"
chary,"has_central_object(npmi=+0.64, n=1) | n_paragraphs(npmi=+0.20, n=2) | n_decorative_motifs(npmi=+0.19, n=2)"
chckh@152;y,"n_pipes(npmi=+0.34, n=2) | n_pools(npmi=+0.31, n=2) | n_nymphs(npmi=+0.29, n=2)"
chckhdy,"n_nymphs(npmi=+0.38, n=3) | has_water(npmi=+0.37, n=3) | has_human_figure(npmi=+0.26, n=3)"
chckhedy,"n_pipes(npmi=+0.53, n=4) | n_pools(npmi=+0.50, n=4) | n_nymphs(npmi=+0.48, n=4)"
chckhey,"n_pipes(npmi=+0.46, n=8) | n_paragraphs(npmi=+0.40, n=10) | n_decorative_motifs(npmi=+0.39, n=10)"
chckhy,"n_nymphs(npmi=+0.32, n=15) | n_pools(npmi=+0.33, n=14) | n_pipes(npmi=+0.34, n=13)"
chcphy,"n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5) | n_stars(npmi=+0.34, n=5)"
chcthedy,"n_pools(npmi=+0.31, n=2) | n_nymphs(npmi=+0.29, n=2) | has_water(npmi=+0.28, n=2)"
chcthey,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
chcthy,"n_paragraphs(npmi=+0.30, n=14) | n_decorative_motifs(npmi=+0.29, n=14) | n_pools(npmi=+0.28, n=10)"
chdaiin,"n_paragraphs(npmi=+0.49, n=6) | n_decorative_motifs(npmi=+0.48, n=6) | n_stars(npmi=+0.44, n=6)"
chdain,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
chdal,"n_paragraphs(npmi=+0.42, n=6) | n_decorative_motifs(npmi=+0.40, n=6) | n_stars(npmi=+0.36, n=6)"
chdar,"n_paragraphs(npmi=+0.44, n=6) | n_decorative_motifs(npmi=+0.43, n=6) | n_stars(npmi=+0.38, n=6)"
chdor,"n_paragraphs(npmi=+0.53, n=5) | n_decorative_motifs(npmi=+0.52, n=5) | n_stars(npmi=+0.47, n=5)"
chdy,"n_decorative_motifs(npmi=+0.32, n=16) | n_paragraphs(npmi=+0.31, n=15) | n_stars(npmi=+0.26, n=16)"
che@152;,"n_pipes(npmi=+0.40, n=3) | n_pools(npmi=+0.37, n=3) | n_nymphs(npmi=+0.35, n=3)"
che@152;aiin,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_stars(npmi=+0.27, n=4)"
che@152;al,"n_paragraphs(npmi=+0.45, n=4) | n_decorative_motifs(npmi=+0.44, n=4) | n_stars(npmi=+0.39, n=4)"
che@152;ar,"n_paragraphs(npmi=+0.47, n=6) | n_decorative_motifs(npmi=+0.46, n=6) | n_stars(npmi=+0.41, n=6)"
che@152;y,"n_nymphs(npmi=+0.46, n=17) | n_pools(npmi=+0.47, n=16) | has_water(npmi=+0.44, n=17)"
che@221;l,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
che@221;r,"has_star_motif(npmi=+0.54, n=1) | n_plant_fragments(npmi=+0.33, n=2) | n_rows(npmi=+0.29, n=1)"
che@222;,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | fragments_are_whole_plants(npmi=+0.54, n=1)"
cheal,"n_stars(npmi=+0.35, n=8) | n_paragraphs(npmi=+0.36, n=7) | n_decorative_motifs(npmi=+0.35, n=7)"
cheam,"n_paragraphs(npmi=+0.53, n=5) | n_decorative_motifs(npmi=+0.52, n=5) | n_stars(npmi=+0.47, n=5)"
